ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3000317	36456	51	874	AAC(1)	AAC(1)-I	ADH03009.1	HM036080	AAC(1)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002523	38923	53	1781	AAC(2')-Ia	AAC(2')-Ia	AAA03550.1	L06156	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002524	38924	85	746	AAC(2')-Ib	AAC(2')-Ib	AAC44793.1	U41471	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002525	38925	4719	1246	AAC(2')-Ic	AAC(2')-Ic	CCP42991.1	AL123456.3	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002526	38926	228	1415	AAC(2')-Id	AAC(2')-Id	AAB41701.1	U72743	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002527	38927	5510	2832	AAC(2')-Ie	AAC(2')-Ie	CAC32082.1	AL583926.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004628	42613	5361	3327	AAC(2')-IIa	AAC(2')-IIa	BAM16262.1	AB669090.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003988	40870	3860	2524	AAC(2')-IIb	AAC(2')-IIb	APB03221.1	KX531051.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002528	38928	3369	39	AAC(3)-Ia	AAC(3)-Ia	AAG15269.1	U12338	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002530	38930	224	575	AAC(3)-Ib	AAC(3)-Ib	AAA88422.1	L06157	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002600	39000	271	209	AAC(3)-Ib/AAC(6')-Ib''	AAC(3)-Ib/AAC(6')-Ib''	AAL82588.1	AF355189	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002531	38931	47	1131	AAC(3)-Ic	AAC(3)-Ic	CAD53575.1	AJ511268	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002529	38929	223	742	AAC(3)-Id	AAC(3)-Id	AAR21614.1	AY458224	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002533	38933	4266	478	AAC(3)-IIa	AAC(3)-IIa	CAA31895.1	X13543.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002534	38934	10	925	AAC(3)-IIb	AAC(3)-IIb	AAA26548.1	M97172	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002535	38935	616	1378	AAC(3)-IIc	AAC(3)-IIc	CAA38525.1	X54723	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004623	42605	5344	3322	AAC(3)-IId	AAC(3)-IId	ABS70977.1	EU022314.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004621	42600	5340	3321	AAC(3)-IIe	AAC(3)-IIe	ABS70978.1	EU022315.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3005085	43296	6120	3820	AAC(3)-IIg	AAC(3)-IIg	QKT21444.1	MT090547.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002536	38936	6	1879	AAC(3)-IIIa	AAC(3)-IIIa	CAA39184.1	X55652	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002537	38937	5232	410	AAC(3)-IIIb	AAC(3)-IIIb	KSC15183.1	LLLC01000048.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002538	38938	9	51	AAC(3)-IIIc	AAC(3)-IIIc	AAA25683.1	L06161	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002539	38939	3715	639	AAC(3)-IV	AAC(3)-IV	ABB43029.1	DQ241380.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3005061	43265	6130	3801	AAC(3)-IVb	AAC(3)-IVb	QEQ43476.1	MN366378.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002543	38943	655	2030	AAC(3)-IXa	AAC(3)-IXa	AAA25334.1	M55427	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002540	38940	659	1105	AAC(3)-VIa	AAC(3)-VIa	AAA16194.1	M88012	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002541	38941	694	653	AAC(3)-VIIa	AAC(3)-VIIa	AAA88552.1	M22999	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002542	38942	12	501	AAC(3)-VIIIa	AAC(3)-VIIIa	AAA26685.1	M55426	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002544	38944	4702	1483	AAC(3)-Xa	AAC(3)-Xa	BAA78619.1	AB028210.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
